Car_ID,Owner_Name,Contact,City,Purchase_Year
C1000,Owner_0,+91 9548825254,Lucknow,2017
C1001,Owner_1,+91 9296593224,Jaipur,2023
C1002,Owner_2,+91 9500832078,Mumbai,2008
C1003,Owner_3,+91 9910472333,Ahmedabad,2014
C1004,Owner_4,+91 9744621471,Mumbai,2007
C1005,Owner_5,+91 9703752914,Delhi,2023
C1006,Owner_6,+91 9750562534,Jaipur,2014
C1007,Owner_7,+91 9185856961,Lucknow,2022
C1008,Owner_8,+91 9260320013,Jaipur,2018
C1009,Owner_9,+91 9539389253,Mumbai,2018
C1010,Owner_10,+91 9715816140,Hyderabad,2017
C1011,Owner_11,+91 9789467753,Kolkata,2010
C1012,Owner_12,+91 9473501690,Chennai,2008
C1013,Owner_13,+91 9759681703,Jaipur,2017
C1014,Owner_14,+91 9370395268,Lucknow,2018
C1015,Owner_15,+91 9652379883,Mumbai,2019
C1016,Owner_16,+91 9647316900,Lucknow,2017
C1017,Owner_17,+91 9630185206,Kolkata,2020
C1018,Owner_18,+91 9781237202,Delhi,2022
C1019,Owner_19,+91 9638571908,Mumbai,2019
C1020,Owner_20,+91 9555203126,Mumbai,2014
C1021,Owner_21,+91 9717761950,Ahmedabad,2005
C1022,Owner_22,+91 9989237859,Lucknow,2014
C1023,Owner_23,+91 9471726849,Chennai,2013
C1024,Owner_24,+91 9427701281,Pune,2023
C1025,Owner_25,+91 9694301770,Chennai,2020
C1026,Owner_26,+91 9125833950,Bangalore,2020
C1027,Owner_27,+91 9489792257,Ahmedabad,2005
C1028,Owner_28,+91 9663410192,Ahmedabad,2010
C1029,Owner_29,+91 9502047866,Bangalore,2023
C1030,Owner_30,+91 9807936385,Pune,2014
C1031,Owner_31,+91 9616706237,Lucknow,2009
C1032,Owner_32,+91 9683973999,Delhi,2006
C1033,Owner_33,+91 9841324664,Hyderabad,2020
C1034,Owner_34,+91 9507817542,Lucknow,2008
C1035,Owner_35,+91 9630342451,Bangalore,2021
C1036,Owner_36,+91 9954208057,Chennai,2012
C1037,Owner_37,+91 9771520217,Bangalore,2011
C1038,Owner_38,+91 9739181839,Ahmedabad,2005
C1039,Owner_39,+91 9443185194,Delhi,2017
C1040,Owner_40,+91 9424697234,Bangalore,2016
C1041,Owner_41,+91 9182882509,Pune,2017
C1042,Owner_42,+91 9604854931,Lucknow,2018
C1043,Owner_43,+91 9691725310,Lucknow,2006
C1044,Owner_44,+91 9455316886,Jaipur,2007
C1045,Owner_45,+91 9161092076,Delhi,2014
